Samples	SBS96A	SBS96B
TCGA-BH-A0BJ-01A-11W-A071-09	28	6
TCGA-BH-A0BL-01A-11D-A10Y-09	52	7
TCGA-BH-A0BM-01A-11W-A071-09	37	14
TCGA-BH-A0BO-01A-23D-A12B-09	23	3
TCGA-BH-A0BP-01A-11D-A10Y-09	90	51
TCGA-BH-A0BQ-01A-21D-A10Y-09	22	3
TCGA-BH-A0BR-01A-21W-A12T-09	35	21
TCGA-BH-A0BS-01A-11D-A12Q-09	11	2
TCGA-BH-A0BT-01A-11D-A12Q-09	32	4
TCGA-BH-A0BV-01A-11W-A019-09	23	8
TCGA-BH-A0BW-01A-11D-A10Y-09	72	10
TCGA-BH-A0BZ-01A-31D-A12Q-09	168	46
TCGA-BH-A0C0-01A-21W-A071-09	83	15
TCGA-BH-A0C1-01B-11D-A12B-09	37	3
TCGA-BH-A0C3-01A-21D-A12Q-09	15	0
TCGA-BH-A0C7-01B-11D-A10Y-09	55	0
TCGA-BH-A0DD-01A-31D-A12Q-09	20	0
TCGA-BH-A0DE-01A-11D-A10Y-09	24	2
TCGA-BH-A0DG-01A-21D-A12Q-09	17	9
TCGA-BH-A0DH-01A-11D-A099-09	31	12
TCGA-BH-A0DI-01A-21D-A12Q-09	23	17
TCGA-BH-A0DK-01A-21W-A071-09	72	13
TCGA-BH-A0DL-01A-11D-A10Y-09	42	9
