Samples	SBS96A	SBS96B	SBS96C
TCGA-GU-AATP-01A-11D-A391-08	232	54	111
TCGA-GU-AATQ-01A-11D-A391-08	142	69	0
TCGA-GV-A3JV-01A-11D-A21Z-08	17	115	11
TCGA-GV-A3JW-01A-11D-A20D-08	41	55	4
TCGA-GV-A3JX-01A-11D-A20D-08	250	59	18
TCGA-GV-A3JZ-01A-11D-A21A-08	352	63	130
TCGA-GV-A3QF-01A-31D-A22Z-08	26	134	0
TCGA-GV-A3QG-01A-11D-A21Z-08	30	78	0
TCGA-GV-A3QH-01A-11D-A21Z-08	106	90	0
TCGA-GV-A3QI-01A-11D-A21Z-08	168	406	0
TCGA-GV-A3QK-01B-11D-A23M-08	57	97	28
TCGA-GV-A40E-01A-12D-A23M-08	128	74	0
TCGA-GV-A40G-01A-11D-A23M-08	38	129	23
TCGA-GV-A6ZA-01A-12D-A339-08	255	46	60
TCGA-H4-A2HO-01A-11D-A17V-08	27	76	0
TCGA-H4-A2HQ-01A-11D-A17V-08	358	103	91
TCGA-HQ-A2OE-01A-11D-A202-08	75	90	13
TCGA-HQ-A2OF-01A-11D-A26M-08	6	120	4
TCGA-HQ-A5ND-01A-11D-A26M-08	18	78	12
TCGA-HQ-A5NE-01A-12D-A289-08	322	20	111
TCGA-K4-A3WS-01A-11D-A22Z-08	207	130	15
TCGA-K4-A3WU-01B-11D-A23M-08	118	104	4
TCGA-K4-A3WV-01A-11D-A22Z-08	3	69	4
TCGA-K4-A4AB-01B-12D-A289-08	23	95	4
TCGA-K4-A4AC-01A-21D-A26M-08	63	91	29
TCGA-K4-A54R-01A-11D-A26M-08	899	0	280
TCGA-K4-A5RH-01A-11D-A30E-08	92	33	87
TCGA-K4-A5RI-01A-11D-A289-08	45	115	7
TCGA-K4-A5RJ-01A-11D-A289-08	346	34	90
TCGA-K4-A6FZ-01A-11D-A31L-08	256	165	74
TCGA-K4-A6MB-01A-11D-A31L-08	250	99	67
TCGA-K4-A83P-01A-11D-A34U-08	158	87	49
TCGA-K4-AAQO-01A-11D-A38G-08	160	119	22
TCGA-KQ-A41N-01A-11D-A339-08	58	171	29
