Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AQ-A0Y5-01A-11D-A14K-09	7.03E-02	5.12E-02	5.06E-02	7.95E-02
TCGA-AQ-A1H2-01A-11D-A13L-09	1.00E-02	3.56E-02	7.75E-02	7.63E-02
TCGA-AQ-A1H3-01A-31D-A13L-09	5.91E-02	3.83E-02	5.84E-02	7.50E-02
TCGA-AQ-A54O-01A-11D-A25Q-09	8.75E-02	9.93E-02	8.10E-02	8.65E-02
TCGA-AQ-A7U7-01A-22D-A351-09	2.39E-02	4.02E-02	2.73E-02	2.39E-02
TCGA-AR-A0TP-01A-11D-A099-09	8.42E-02	6.77E-02	7.71E-02	8.43E-02
TCGA-AR-A0TS-01A-11D-A10Y-09	6.68E-02	7.91E-02	6.11E-02	6.31E-02
TCGA-AR-A0TT-01A-31D-A099-09	4.69E-02	4.29E-02	4.51E-02	3.68E-02
TCGA-AR-A0TU-01A-31D-A10G-09	5.87E-02	3.45E-02	6.21E-02	7.66E-02
TCGA-AR-A0TV-01A-21D-A099-09	3.78E-02	2.39E-02	4.94E-02	3.86E-02
TCGA-AR-A0TX-01A-11D-A099-09	2.15E-01	2.69E-01	1.47E-01	1.25E-01
TCGA-AR-A0TY-01A-12W-A12T-09	8.59E-02	7.98E-02	9.97E-02	1.24E-01
TCGA-AR-A0TZ-01A-12D-A099-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AR-A0U0-01A-11D-A10G-09	8.12E-02	7.29E-02	7.70E-02	7.72E-02
TCGA-AR-A0U2-01A-11D-A10G-09	4.50E-02	6.61E-02	6.53E-02	8.44E-02
TCGA-AR-A1AH-01A-11D-A12B-09	6.64E-02	1.10E-01	6.05E-02	9.78E-02
TCGA-AR-A1AI-01A-11D-A12Q-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AR-A1AJ-01A-21D-A12Q-09	4.69E-02	4.29E-02	4.51E-02	3.68E-02
TCGA-AR-A1AN-01A-11D-A12Q-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AR-A1AO-01A-11D-A12Q-09	8.31E-02	6.47E-02	9.24E-02	7.39E-02
TCGA-AR-A1AS-01A-11D-A12Q-09	1.41E-02	3.27E-02	4.23E-02	2.88E-02
TCGA-AR-A1AV-01A-21D-A12Q-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AR-A1AY-01A-21D-A12Q-09	7.58E-02	6.47E-02	8.18E-02	8.37E-02
TCGA-AR-A24H-01A-11D-A167-09	7.90E-02	7.39E-02	1.08E-01	1.13E-01
TCGA-AR-A24K-01A-11D-A167-09	8.56E-02	4.28E-02	7.71E-02	7.94E-02
TCGA-AR-A24L-01A-11D-A167-09	4.69E-02	3.68E-02	4.09E-02	4.65E-02
TCGA-AR-A24N-01A-11D-A167-09	8.10E-02	4.79E-02	8.30E-02	8.78E-02
TCGA-AR-A24Q-01A-12D-A167-09	8.82E-02	1.10E-01	8.92E-02	8.80E-02
TCGA-AR-A24U-01A-11D-A167-09	9.01E-02	7.72E-02	6.77E-02	7.72E-02
TCGA-AR-A24V-01A-21D-A167-09	1.41E-02	3.27E-02	4.23E-02	2.88E-02
TCGA-AR-A24W-01A-11D-A17G-09	4.90E-02	3.27E-02	4.41E-02	4.23E-02
