Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-GC-A6I3-01A-11D-A31L-08	8	14	0	13	6	2
TCGA-GD-A2C5-01A-12D-A17V-08	7	11	34	0	0	0
TCGA-GD-A3OP-01A-21D-A21Z-08	17	14	15	3	3	5
TCGA-GD-A3OQ-01A-32D-A21Z-08	3	6	0	2	2	2
TCGA-GD-A3OS-01A-12D-A21Z-08	2	0	8	0	0	6
TCGA-GD-A6C6-01A-21D-A31L-08	12	22	0	8	3	0
TCGA-GD-A76B-01A-11D-A32B-08	10	4	0	0	5	5
TCGA-GU-A42P-01A-11D-A23U-08	11	5	23	0	6	0
TCGA-GU-A42Q-01A-11D-A23U-08	8	9	0	0	0	7
TCGA-GU-A42R-01A-11D-A23M-08	5	3	13	0	0	0
TCGA-GU-A762-01A-11D-A339-08	1	0	3	0	1	5
TCGA-GU-A763-01A-11D-A32B-08	1	0	0	9	1	0
TCGA-GU-A764-01A-11D-A34U-08	8	0	7	1	2	0
TCGA-GU-A766-01A-11D-A32B-08	9	18	0	0	3	0
TCGA-GU-A767-01A-11D-A32B-08	5	4	21	22	4	0
TCGA-GU-AATO-01A-11D-A391-08	22	8	28	0	0	0
TCGA-GU-AATP-01A-11D-A391-08	29	25	0	0	5	17
TCGA-GU-AATQ-01A-11D-A391-08	0	12	20	0	0	0
TCGA-GV-A3JV-01A-11D-A21Z-08	2	1	7	0	0	4
TCGA-GV-A3JW-01A-11D-A20D-08	0	6	4	2	2	2
TCGA-GV-A3JX-01A-11D-A20D-08	5	14	18	0	3	1
TCGA-GV-A3JZ-01A-11D-A21A-08	20	34	11	1	4	1
TCGA-GV-A3QF-01A-31D-A22Z-08	3	0	7	5	0	5
TCGA-GV-A3QG-01A-11D-A21Z-08	1	3	0	6	0	4
TCGA-GV-A3QH-01A-11D-A21Z-08	4	13	0	0	1	13
TCGA-GV-A3QI-01A-11D-A21Z-08	9	7	8	39	8	5
TCGA-GV-A3QK-01B-11D-A23M-08	6	2	0	0	0	15
TCGA-GV-A40E-01A-12D-A23M-08	4	9	11	0	5	6
TCGA-GV-A40G-01A-11D-A23M-08	6	1	13	0	0	14
TCGA-GV-A6ZA-01A-12D-A339-08	6	15	15	0	10	3
TCGA-H4-A2HO-01A-11D-A17V-08	3	1	0	0	0	13
TCGA-H4-A2HQ-01A-11D-A17V-08	29	9	37	0	3	0
TCGA-HQ-A2OE-01A-11D-A202-08	2	12	6	7	0	2
TCGA-HQ-A2OF-01A-11D-A26M-08	1	0	3	0	2	12
TCGA-HQ-A5ND-01A-11D-A26M-08	2	3	4	5	4	2
TCGA-HQ-A5NE-01A-12D-A289-08	19	28	11	0	0	8
TCGA-K4-A3WS-01A-11D-A22Z-08	3	9	5	24	4	3
TCGA-K4-A3WU-01B-11D-A23M-08	3	4	22	0	6	1
TCGA-K4-A3WV-01A-11D-A22Z-08	1	0	0	7	1	4
TCGA-K4-A4AB-01B-12D-A289-08	0	2	3	9	0	5
TCGA-K4-A4AC-01A-21D-A26M-08	2	0	9	0	4	5
TCGA-K4-A54R-01A-11D-A26M-08	71	77	0	4	27	0
TCGA-K4-A5RH-01A-11D-A30E-08	13	8	4	0	5	0
TCGA-K4-A5RI-01A-11D-A289-08	2	0	15	0	2	4
TCGA-K4-A5RJ-01A-11D-A289-08	24	23	11	4	9	1
TCGA-K4-A6FZ-01A-11D-A31L-08	21	10	0	44	0	0
TCGA-K4-A6MB-01A-11D-A31L-08	18	20	3	7	0	9
TCGA-K4-A83P-01A-11D-A34U-08	9	8	7	8	0	0
TCGA-K4-AAQO-01A-11D-A38G-08	18	9	2	12	0	0
TCGA-KQ-A41N-01A-11D-A339-08	8	3	6	11	3	0
TCGA-KQ-A41O-01A-12D-A34U-08	6	11	10	0	3	6
TCGA-KQ-A41P-01A-12D-A339-08	16	23	0	7	8	4
TCGA-KQ-A41Q-01A-11D-A339-08	3	4	7	0	0	8
TCGA-KQ-A41R-01A-21D-A34U-08	55	2	34	23	0	13
TCGA-KQ-A41S-01A-12D-A339-08	10	8	23	0	1	0
TCGA-LC-A66R-01A-41D-A30E-08	2	2	11	0	6	1
TCGA-LT-A5Z6-01A-11D-A289-08	49	38	12	3	6	0
TCGA-LT-A8JT-01A-11D-A364-08	5	5	0	0	2	4
TCGA-MV-A51V-01A-11D-A26M-08	69	194	4	28	14	0
TCGA-PQ-A6FI-01A-11D-A31L-08	7	7	0	0	5	9
TCGA-PQ-A6FN-01A-11D-A31L-08	3	2	5	3	0	2
TCGA-R3-A69X-01A-22D-A30E-08	18	14	0	4	4	0
TCGA-S5-A6DX-01A-11D-A31L-08	49	37	43	0	1	5
TCGA-S5-AA26-01A-11D-A38G-08	10	13	13	0	4	0
TCGA-SY-A9G0-01A-12D-A38G-08	0	5	0	0	6	1
TCGA-SY-A9G5-01A-11D-A38G-08	65	67	12	0	6	10
TCGA-UY-A78K-01A-11D-A339-08	14	28	0	80	4	7
TCGA-UY-A78L-01A-12D-A339-08	13	7	12	0	3	0
TCGA-UY-A78M-01A-21D-A34U-08	3	2	14	0	2	0
TCGA-UY-A78N-01A-12D-A339-08	6	0	3	21	3	5
