Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-AQ-A1H2-01A-11D-A13L-09	3	0	9	10	11	3	1
TCGA-AQ-A1H3-01A-31D-A13L-09	0	0	0	0	27	0	0
TCGA-AQ-A54O-01A-11D-A25Q-09	4	0	8	3	11	0	4
TCGA-AQ-A7U7-01A-22D-A351-09	40	35	0	12	7	3	6
TCGA-AR-A0TP-01A-11D-A099-09	5	7	37	8	9	0	11
TCGA-AR-A0TQ-01A-11D-A099-09	10	0	17	2	11	0	3
TCGA-AR-A0TR-01A-11D-A099-09	3	1	2	13	14	3	7
TCGA-AR-A0TS-01A-11D-A10Y-09	7	14	38	6	21	0	11
TCGA-AR-A0TT-01A-31D-A099-09	9	14	6	12	16	1	14
TCGA-AR-A0TU-01A-31D-A10G-09	7	22	105	19	8	5	35
TCGA-AR-A0TV-01A-21D-A099-09	6	5	16	8	25	1	20
TCGA-AR-A0TW-01A-11D-A099-09	2	5	13	6	22	6	6
TCGA-AR-A0TX-01A-11D-A099-09	211	175	0	0	6	11	0
TCGA-AR-A0TY-01A-12W-A12T-09	6	20	122	46	20	11	13
TCGA-AR-A0TZ-01A-12D-A099-09	15	16	0	7	13	8	0
TCGA-AR-A0U0-01A-11D-A10G-09	20	18	134	26	0	7	40
TCGA-AR-A0U1-01A-11D-A10Y-09	0	14	51	22	2	4	8
TCGA-AR-A0U2-01A-11D-A10G-09	5	2	41	18	20	2	20
TCGA-AR-A0U3-01A-11D-A10G-09	0	2	3	5	13	6	9
TCGA-AR-A1AH-01A-11D-A12B-09	3	12	50	32	7	10	3
TCGA-AR-A1AI-01A-11D-A12Q-09	4	21	3	4	17	13	23
TCGA-AR-A1AJ-01A-21D-A12Q-09	19	8	0	3	17	3	0
TCGA-AR-A1AK-01A-21D-A12Q-09	23	18	7	0	16	6	8
TCGA-AR-A1AL-01A-21D-A12Q-09	6	3	4	5	9	0	3
TCGA-AR-A1AN-01A-11D-A12Q-09	0	6	0	5	17	1	2
TCGA-AR-A1AO-01A-11D-A12Q-09	15	21	35	0	17	8	17
TCGA-AR-A1AP-01A-11D-A12Q-09	6	4	0	5	20	4	2
TCGA-AR-A1AQ-01A-11D-A12Q-09	2	1	6	10	10	0	10
TCGA-AR-A1AR-01A-31D-A135-09	2	11	16	2	17	1	16
TCGA-AR-A1AS-01A-11D-A12Q-09	16	1	3	14	2	5	1
TCGA-AR-A1AT-01A-11D-A12Q-09	1	2	8	8	8	0	4
