Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AN-A0XN-01A-21D-A10G-09	6	33	82	6
TCGA-AN-A0XO-01A-11D-A10G-09	3	9	12	5
TCGA-AN-A0XP-01A-11D-A117-09	8	10	2	1
TCGA-AN-A0XR-01A-11D-A10G-09	5	8	12	0
TCGA-AN-A0XS-01A-22D-A10G-09	7	9	8	2
TCGA-AN-A0XT-01A-11D-A10G-09	1	13	1	0
TCGA-AN-A0XU-01A-11D-A10G-09	19	19	48	6
TCGA-AN-A0XV-01A-11D-A10G-09	2	20	4	3
TCGA-AN-A0XW-01A-11D-A10G-09	307	5	0	0
TCGA-AO-A03L-01A-41W-A071-09	5	7	17	1
TCGA-AO-A03O-01A-11W-A019-09	7	53	19	0
TCGA-AO-A03P-01A-11W-A019-09	6	20	17	5
TCGA-AO-A03R-01A-21W-A050-09	5	13	27	4
TCGA-AO-A03T-01A-21W-A050-09	19	14	64	0
TCGA-AO-A03V-01A-11D-A10Y-09	12	11	21	4
TCGA-AO-A0J2-01A-11W-A050-09	2	16	41	2
TCGA-AO-A0J3-01A-11W-A050-09	15	18	26	15
TCGA-AO-A0J4-01A-11W-A050-09	39	25	47	0
TCGA-AO-A0J5-01A-11W-A050-09	2	23	29	5
TCGA-AO-A0J6-01A-11W-A050-09	11	17	54	2
TCGA-AO-A0J7-01A-11W-A050-09	6	9	8	2
TCGA-AO-A0J8-01A-21D-A045-09	3	9	9	2
TCGA-AO-A0J9-01A-11W-A050-09	80	18	36	8
TCGA-AO-A0JA-01A-11W-A071-09	10	8	12	1
TCGA-AO-A0JB-01A-11W-A071-09	9	15	79	6
TCGA-AO-A0JC-01A-11W-A071-09	120	7	4	14
TCGA-AO-A0JD-01A-11W-A071-09	4	35	66	5
TCGA-AO-A0JE-01A-11W-A071-09	21	8	3	9
TCGA-AO-A0JF-01A-11W-A071-09	3	5	17	3
TCGA-AO-A0JG-01A-31D-A099-09	0	0	10	3
TCGA-AO-A0JI-01A-21W-A100-09	0	7	13	3
TCGA-AO-A0JJ-01A-11W-A071-09	2	7	17	4
TCGA-AO-A0JM-01A-21W-A071-09	6	29	5	7
TCGA-AO-A124-01A-11D-A10M-09	2	31	76	10
TCGA-AO-A128-01A-11D-A10M-09	11	844	0	29
TCGA-AO-A12A-01A-21D-A10Y-09	2	7	2	0
TCGA-AO-A12D-01A-11D-A10Y-09	22	9	13	4
TCGA-AO-A12F-01A-11D-A10Y-09	0	17	2	3
TCGA-AO-A12H-01A-11D-A10Y-09	0	17	9	1
TCGA-AO-A1KO-01A-31D-A188-09	1	2	1	0
TCGA-AO-A1KP-01A-11D-A13L-09	0	10	6	0
TCGA-AO-A1KR-01A-12D-A142-09	9	14	40	2
TCGA-AO-A1KS-01A-11D-A13L-09	14	15	5	7
TCGA-AO-A1KT-01A-11D-A13L-09	1	22	13	4
TCGA-AQ-A04H-01B-11D-A10M-09	1	46	6	4
TCGA-AQ-A04J-01A-02W-A050-09	7	19	57	0
TCGA-AQ-A0Y5-01A-11D-A14K-09	18	23	6	6
TCGA-AQ-A1H2-01A-11D-A13L-09	0	12	12	2
TCGA-AQ-A1H3-01A-31D-A13L-09	0	19	0	0
TCGA-AQ-A54O-01A-11D-A25Q-09	1	10	8	1
TCGA-AQ-A7U7-01A-22D-A351-09	43	15	2	5
TCGA-AR-A0TP-01A-11D-A099-09	7	8	39	0
TCGA-AR-A0TQ-01A-11D-A099-09	8	10	12	3
TCGA-AR-A0TR-01A-11D-A099-09	1	23	2	3
TCGA-AR-A0TS-01A-11D-A10Y-09	11	32	37	0
TCGA-AR-A0TT-01A-31D-A099-09	12	19	16	2
TCGA-AR-A0TU-01A-31D-A10G-09	11	10	118	6
TCGA-AR-A0TV-01A-21D-A099-09	4	30	26	0
TCGA-AR-A0TW-01A-11D-A099-09	4	24	10	6
TCGA-AR-A0TX-01A-11D-A099-09	238	6	13	21
TCGA-AR-A0TY-01A-12W-A12T-09	7	39	111	6
TCGA-AR-A0TZ-01A-12D-A099-09	22	16	2	6
TCGA-AR-A0U0-01A-11D-A10G-09	22	10	153	5
TCGA-AR-A0U1-01A-11D-A10Y-09	1	9	60	4
TCGA-AR-A0U2-01A-11D-A10G-09	1	25	48	4
TCGA-AR-A0U3-01A-11D-A10G-09	1	17	4	5
TCGA-AR-A1AH-01A-11D-A12B-09	3	17	52	9
TCGA-AR-A1AI-01A-11D-A12Q-09	11	23	14	11
TCGA-AR-A1AJ-01A-21D-A12Q-09	14	21	0	5
TCGA-AR-A1AK-01A-21D-A12Q-09	23	16	12	7
TCGA-AR-A1AL-01A-21D-A12Q-09	6	10	6	1
TCGA-AR-A1AN-01A-11D-A12Q-09	1	19	0	1
TCGA-AR-A1AO-01A-11D-A12Q-09	24	16	41	9
TCGA-AR-A1AP-01A-11D-A12Q-09	6	19	0	3
TCGA-AR-A1AQ-01A-11D-A12Q-09	3	23	4	1
TCGA-AR-A1AR-01A-31D-A135-09	4	23	19	1
TCGA-AR-A1AS-01A-11D-A12Q-09	8	14	2	3
