Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-GU-A762-01A-11D-A339-08	22	5	51	6
TCGA-GU-A763-01A-11D-A32B-08	17	3	39	0
TCGA-GU-A764-01A-11D-A34U-08	34	22	35	8
TCGA-GU-A766-01A-11D-A32B-08	83	62	17	19
TCGA-GU-A767-01A-11D-A32B-08	124	28	157	26
TCGA-GU-AATO-01A-11D-A391-08	141	98	33	0
TCGA-GU-AATP-01A-11D-A391-08	95	93	50	16
TCGA-GU-AATQ-01A-11D-A391-08	65	29	45	4
TCGA-GV-A3JV-01A-11D-A21Z-08	6	11	72	13
TCGA-GV-A3JW-01A-11D-A20D-08	25	14	23	5
TCGA-GV-A3JX-01A-11D-A20D-08	136	52	32	10
TCGA-GV-A3JZ-01A-11D-A21A-08	179	99	47	47
TCGA-GV-A3QF-01A-31D-A22Z-08	10	6	87	6
TCGA-GV-A3QG-01A-11D-A21Z-08	13	11	55	0
TCGA-GV-A3QH-01A-11D-A21Z-08	59	17	51	5
TCGA-GV-A3QI-01A-11D-A21Z-08	85	48	264	0
TCGA-GV-A3QK-01B-11D-A23M-08	26	29	58	13
TCGA-GV-A40E-01A-12D-A23M-08	79	6	48	5
TCGA-GV-A40G-01A-11D-A23M-08	11	24	80	9
TCGA-GV-A6ZA-01A-12D-A339-08	130	76	32	19
TCGA-H4-A2HO-01A-11D-A17V-08	10	8	48	2
TCGA-H4-A2HQ-01A-11D-A17V-08	177	99	77	21
TCGA-HQ-A2OE-01A-11D-A202-08	28	22	55	11
TCGA-HQ-A2OF-01A-11D-A26M-08	3	5	66	13
TCGA-HQ-A5ND-01A-11D-A26M-08	8	7	51	6
TCGA-HQ-A5NE-01A-12D-A289-08	146	126	26	14
TCGA-K4-A3WS-01A-11D-A22Z-08	107	53	81	0
TCGA-K4-A3WU-01B-11D-A23M-08	65	20	51	13
TCGA-K4-A3WV-01A-11D-A22Z-08	1	2	41	7
TCGA-K4-A4AB-01B-12D-A289-08	6	12	56	6
TCGA-K4-A4AC-01A-21D-A26M-08	35	20	46	16
TCGA-K4-A54R-01A-11D-A26M-08	472	296	3	27
TCGA-K4-A5RH-01A-11D-A30E-08	26	63	46	14
TCGA-K4-A5RI-01A-11D-A289-08	20	19	73	3
TCGA-K4-A5RJ-01A-11D-A289-08	158	115	43	3
TCGA-K4-A6FZ-01A-11D-A31L-08	109	95	135	0
TCGA-K4-A6MB-01A-11D-A31L-08	109	93	88	0
TCGA-K4-A83P-01A-11D-A34U-08	80	63	69	4
TCGA-K4-AAQO-01A-11D-A38G-08	81	39	77	10
TCGA-KQ-A41N-01A-11D-A339-08	23	27	121	10
TCGA-KQ-A41O-01A-12D-A34U-08	123	37	49	18
TCGA-KQ-A41P-01A-12D-A339-08	139	91	21	16
TCGA-KQ-A41Q-01A-11D-A339-08	37	27	51	20
TCGA-KQ-A41R-01A-21D-A34U-08	72	300	248	26
TCGA-KQ-A41S-01A-12D-A339-08	99	69	28	0
TCGA-LC-A66R-01A-41D-A30E-08	38	23	31	17
TCGA-LT-A5Z6-01A-11D-A289-08	223	187	26	0
TCGA-LT-A8JT-01A-11D-A364-08	11	10	35	6
TCGA-MV-A51V-01A-11D-A26M-08	1171	198	0	30
TCGA-PQ-A6FI-01A-11D-A31L-08	51	24	60	2
TCGA-PQ-A6FN-01A-11D-A31L-08	13	14	35	2
TCGA-R3-A69X-01A-22D-A30E-08	116	20	41	7
TCGA-S5-A6DX-01A-11D-A31L-08	308	178	12	49
TCGA-S5-AA26-01A-11D-A38G-08	111	38	26	13
TCGA-SY-A9G0-01A-12D-A38G-08	13	7	24	0
TCGA-SY-A9G5-01A-11D-A38G-08	547	306	0	11
TCGA-UY-A78K-01A-11D-A339-08	178	106	384	41
TCGA-UY-A78L-01A-12D-A339-08	88	66	29	8
TCGA-UY-A78M-01A-21D-A34U-08	33	20	54	2
TCGA-UY-A78N-01A-12D-A339-08	0	23	156	8
TCGA-UY-A78O-01A-12D-A339-08	62	18	62	19
TCGA-UY-A78P-01A-12D-A364-08	168	64	5	8
TCGA-UY-A8OB-01A-12D-A42E-08	77	19	188	8
TCGA-UY-A8OC-01A-11D-A364-08	20	25	22	10
TCGA-UY-A8OD-01A-11D-A364-08	15	14	51	3
TCGA-UY-A9PA-01A-11D-A38G-08	23	30	91	0
TCGA-UY-A9PB-01A-11D-A38G-08	174	137	198	0
TCGA-UY-A9PD-01A-11D-A38G-08	32	53	168	7
TCGA-UY-A9PE-01A-11D-A38G-08	58	36	63	20
TCGA-UY-A9PF-01A-11D-A38G-08	12	292	69	5
TCGA-UY-A9PH-01A-11D-A38G-08	141	126	23	25
TCGA-XF-A8HB-01A-11D-A364-08	10	2	43	12
TCGA-XF-A8HC-01A-11D-A364-08	24	45	55	13
TCGA-XF-A8HD-01A-11D-A364-08	252	110	39	32
TCGA-XF-A8HE-01A-11D-A364-08	163	158	0	17
TCGA-XF-A8HF-01A-11D-A364-08	25	20	90	0
TCGA-XF-A8HG-01A-11D-A364-08	42	69	109	13
TCGA-XF-A8HH-01A-11D-A38G-08	32	29	36	6
TCGA-XF-A8HI-01A-11D-A38G-08	33	27	18	0
TCGA-XF-A9SG-01A-12D-A42E-08	63	58	34	12
TCGA-XF-A9SH-01A-11D-A391-08	15	4	13	4
TCGA-XF-A9SI-01A-11D-A391-08	197	108	0	0
TCGA-XF-A9SJ-01A-11D-A391-08	63	113	50	1
TCGA-XF-A9SK-01A-11D-A42E-08	54	26	25	16
TCGA-XF-A9SL-01A-11D-A391-08	44	4	10	2
