Samples	SBS1	SBS2	SBS5	SBS10b	SBS13
TCGA-BH-A0B4-01A-11W-A019-09	0	0	3	0	0
TCGA-BH-A0B5-01A-11D-A12Q-09	0	4	0	0	0
TCGA-BH-A0B6-01A-11D-A19Y-09	0	10	0	6	7
TCGA-BH-A0B7-01A-12D-A10Y-09	0	0	0	0	1
TCGA-BH-A0B9-01A-11W-A071-09	0	1	0	0	0
TCGA-BH-A0BG-01A-11D-A10Y-09	0	0	1	0	0
TCGA-BH-A0BJ-01A-11W-A071-09	0	0	1	0	0
TCGA-BH-A0BP-01A-11D-A10Y-09	0	0	2	0	0
TCGA-BH-A0BR-01A-21W-A12T-09	2	0	0	0	0
TCGA-BH-A0BT-01A-11D-A12Q-09	0	1	0	0	0
TCGA-BH-A0BV-01A-11W-A019-09	0	0	1	0	0
TCGA-BH-A0BW-01A-11D-A10Y-09	0	0	2	0	0
TCGA-BH-A0BZ-01A-31D-A12Q-09	0	0	7	0	0
TCGA-BH-A0C1-01B-11D-A12B-09	1	0	0	0	0
TCGA-BH-A0DI-01A-21D-A12Q-09	0	0	0	2	0
TCGA-BH-A0DK-01A-21W-A071-09	0	0	0	0	2
TCGA-BH-A0DL-01A-11D-A10Y-09	0	0	2	0	0
TCGA-BH-A0DO-01B-11D-A12B-09	1	0	0	0	0
TCGA-BH-A0DP-01A-21W-A071-09	0	0	1	0	1
TCGA-BH-A0DQ-01A-11D-A099-09	1	0	0	0	0
TCGA-BH-A0DS-01A-11W-A071-09	0	0	0	2	0
TCGA-BH-A0DV-01A-21D-A12Q-09	0	0	1	0	0
TCGA-BH-A0DZ-01A-11W-A019-09	1	0	0	2	0
TCGA-BH-A0E0-01A-11W-A071-09	1	0	0	1	0
TCGA-BH-A0EB-01A-11W-A050-09	0	0	1	0	0
TCGA-BH-A0EE-01A-11W-A050-09	0	0	2	0	0
TCGA-BH-A0EI-01A-11D-A10Y-09	2	0	0	0	0
TCGA-BH-A0GY-01A-11W-A071-09	1	0	3	0	0
TCGA-BH-A0GZ-01A-11W-A071-09	1	0	0	0	0
TCGA-BH-A0H5-01A-21D-A10Y-09	0	0	1	0	1
TCGA-BH-A0H7-01A-13W-A071-09	0	0	1	0	0
TCGA-BH-A0H9-01A-11W-A071-09	0	0	2	0	0
TCGA-BH-A0HA-01A-11D-A12Q-09	0	2	0	0	0
TCGA-BH-A0HB-01A-11W-A071-09	1	0	0	1	0
TCGA-BH-A0HF-01A-11W-A071-09	2	0	14	0	0
TCGA-BH-A0HK-01A-11W-A071-09	1	3	0	0	1
TCGA-BH-A0HO-01A-11W-A050-09	0	0	1	0	0
TCGA-BH-A0HP-01A-12D-A099-09	0	2	0	0	1
TCGA-BH-A0HQ-01A-11W-A050-09	1	1	0	1	0
TCGA-BH-A0HU-01A-11W-A050-09	0	0	1	0	0
TCGA-BH-A0HW-01A-11W-A050-09	1	0	0	0	0
TCGA-BH-A0HX-01A-21W-A071-09	0	0	2	0	1
TCGA-BH-A0HY-01A-11W-A071-09	0	1	1	0	0
TCGA-BH-A0W5-01A-11D-A10G-09	0	0	1	1	0
TCGA-BH-A0W7-01A-11D-A10Y-09	0	0	0	0	2
TCGA-BH-A0WA-01A-11D-A10G-09	0	0	0	0	1
TCGA-BH-A18F-01A-11D-A12B-09	0	0	1	0	0
TCGA-BH-A18G-01A-11D-A12B-09	5	0	17	0	0
TCGA-BH-A18I-01A-11D-A12B-09	0	0	1	0	0
TCGA-BH-A18J-01A-11D-A12B-09	0	2	0	0	0
TCGA-BH-A18K-01A-11D-A12B-09	0	0	0	0	2
TCGA-BH-A18L-01A-32D-A12B-09	1	0	3	0	0
TCGA-BH-A18P-01A-11D-A12B-09	0	1	0	0	5
TCGA-BH-A18Q-01A-12D-A12B-09	0	0	4	0	0
TCGA-BH-A18T-01A-11D-A12B-09	0	0	1	0	0
TCGA-BH-A18U-01A-21D-A12B-09	0	0	0	1	0
TCGA-BH-A18V-01A-11D-A12B-09	0	1	0	0	2
TCGA-BH-A1EN-01A-11D-A17G-09	0	1	0	0	0
TCGA-BH-A1F0-01A-11D-A135-09	0	0	1	0	1
TCGA-BH-A1F5-01A-12D-A13L-09	0	0	2	0	0
TCGA-BH-A1F6-01A-11D-A13L-09	0	0	0	0	1
TCGA-BH-A1F8-01A-11D-A13L-09	0	0	0	2	0
TCGA-BH-A1FC-01A-11D-A13L-09	0	0	0	0	2
TCGA-BH-A1FE-01A-11D-A13L-09	0	0	1	0	0
TCGA-BH-A1FG-01A-11D-A13L-09	0	0	1	0	0
TCGA-BH-A1FL-01A-11D-A13L-09	0	0	0	0	1
TCGA-BH-A1FN-01A-11D-A13L-09	1	0	0	1	0
TCGA-BH-A1FR-01A-11D-A13L-09	0	0	1	0	0
TCGA-BH-A1FU-01A-11D-A14G-09	1	0	0	2	1
TCGA-BH-A204-01A-11D-A159-09	0	1	2	0	0
TCGA-BH-A208-01A-11D-A159-09	0	0	0	0	1
TCGA-BH-A209-01A-11D-A17G-09	0	2	0	0	2
TCGA-BH-A2L8-01A-11D-A18P-09	0	1	2	2	4
TCGA-BH-A42V-01A-11D-A243-09	0	0	0	1	0
TCGA-BH-A5IZ-01A-11D-A27P-09	0	0	4	0	0
TCGA-BH-A5J0-01A-11D-A27P-09	0	0	0	2	0
TCGA-BH-A8FZ-01A-11D-A351-09	1	0	0	0	0
TCGA-BH-AB28-01A-31D-A41F-09	0	0	1	0	0
TCGA-C8-A12K-01A-21D-A10Y-09	0	0	1	0	0
TCGA-C8-A12L-01A-11D-A10Y-09	0	0	1	0	0
TCGA-C8-A12N-01A-11D-A10Y-09	0	0	1	0	0
TCGA-C8-A12O-01A-11D-A10Y-09	0	0	0	1	0
TCGA-C8-A12P-01A-11D-A10Y-09	0	1	2	0	0
TCGA-C8-A12Q-01A-11D-A10Y-09	1	0	2	0	0
TCGA-C8-A12T-01A-11D-A10Y-09	0	0	0	3	1
TCGA-C8-A12U-01A-11D-A10Y-09	0	0	1	0	0
TCGA-C8-A12V-01A-11D-A10Y-09	0	0	1	0	0
TCGA-C8-A12W-01A-11D-A10Y-09	0	0	1	0	0
TCGA-C8-A12Y-01A-11D-A12B-09	0	0	0	0	1
TCGA-C8-A12Z-01A-11D-A10Y-09	0	1	0	2	0
TCGA-C8-A130-01A-31D-A10Y-09	0	0	0	2	0
TCGA-C8-A131-01A-11D-A10Y-09	0	0	1	0	0
TCGA-C8-A135-01A-11D-A10Y-09	2	0	0	0	0
TCGA-C8-A137-01A-11D-A10Y-09	2	0	0	0	0
TCGA-C8-A138-01A-11D-A10Y-09	1	0	0	0	0
TCGA-C8-A1HF-01A-11D-A135-09	0	0	1	0	0
TCGA-C8-A1HI-01A-11D-A135-09	1	0	0	0	0
TCGA-C8-A1HJ-01A-11D-A13L-09	0	0	2	0	2
TCGA-C8-A1HL-01A-11D-A135-09	0	0	1	0	0
TCGA-C8-A1HM-01A-12D-A135-09	0	0	2	2	5
TCGA-C8-A1HO-01A-11D-A13L-09	1	0	3	0	0
TCGA-C8-A26V-01A-11D-A16D-09	0	0	0	0	1
TCGA-C8-A26W-01A-11D-A16D-09	0	1	0	0	0
TCGA-C8-A26Y-01A-11D-A16D-09	2	9	6	0	7
TCGA-C8-A274-01A-11D-A16D-09	0	2	0	0	5
