Samples	SBS1	SBS2	SBS4	SBS5	SBS10a	SBS10b	SBS13	SBS26	SBS84
TCGA-S5-AA26-01A-11D-A38G-08	35	92	0	28	0	0	129	0	0
TCGA-SY-A9G0-01A-12D-A38G-08	15	9	0	23	0	0	17	0	0
TCGA-SY-A9G5-01A-11D-A38G-08	56	490	0	86	0	0	589	0	0
TCGA-UY-A78K-01A-11D-A339-08	28	128	0	657	0	0	190	0	0
TCGA-UY-A78L-01A-12D-A339-08	12	90	0	45	0	25	90	0	0
TCGA-UY-A78M-01A-21D-A34U-08	35	43	0	41	0	0	43	0	0
TCGA-UY-A78N-01A-12D-A339-08	29	18	0	228	0	0	0	0	0
TCGA-UY-A78O-01A-12D-A339-08	53	46	0	52	0	0	70	0	0
TCGA-UY-A78P-01A-12D-A364-08	21	113	0	7	0	35	175	0	0
TCGA-UY-A8OB-01A-12D-A42E-08	11	22	0	300	0	0	60	0	0
TCGA-UY-A8OC-01A-11D-A364-08	15	31	0	26	0	16	28	0	0
TCGA-UY-A8OD-01A-11D-A364-08	21	22	0	54	0	0	16	0	0
TCGA-UY-A9PA-01A-11D-A38G-08	17	32	0	132	0	0	20	0	0
TCGA-UY-A9PB-01A-11D-A38G-08	50	184	0	315	0	0	192	0	0
TCGA-UY-A9PD-01A-11D-A38G-08	44	63	0	223	0	0	42	0	0
