Samples	SBS96A	SBS96B	SBS96C
TCGA-AN-A0AT-01A-11D-A045-09	98	24	4
TCGA-AN-A0FD-01A-11W-A050-09	24	3	0
TCGA-AN-A0FF-01A-11W-A050-09	22	1	0
TCGA-AN-A0FJ-01A-11W-A019-09	63	39	0
TCGA-AN-A0FK-01A-11W-A050-09	42	4	6
TCGA-AN-A0FL-01A-11W-A050-09	123	38	6
TCGA-AN-A0FN-01A-11W-A050-09	59	13	7
TCGA-AN-A0FS-01A-11W-A050-09	54	28	8
TCGA-AN-A0FT-01A-11W-A050-09	76	23	8
TCGA-AN-A0FV-01A-11W-A019-09	44	47	2
TCGA-AN-A0FW-01A-11W-A050-09	85	21	12
TCGA-AN-A0FX-01A-11W-A050-09	105	19	17
TCGA-AN-A0FY-01A-11W-A050-09	40	3	6
TCGA-AN-A0FZ-01A-11W-A050-09	60	6	8
TCGA-AN-A0G0-01A-11W-A050-09	30	3	1
TCGA-AN-A0XN-01A-21D-A10G-09	116	19	9
TCGA-AN-A0XO-01A-11D-A10G-09	19	7	6
TCGA-AN-A0XP-01A-11D-A117-09	15	9	2
TCGA-AN-A0XR-01A-11D-A10G-09	25	6	0
TCGA-AN-A0XS-01A-22D-A10G-09	16	9	3
TCGA-AN-A0XT-01A-11D-A10G-09	16	1	0
TCGA-AN-A0XU-01A-11D-A10G-09	73	26	11
TCGA-AN-A0XV-01A-11D-A10G-09	28	2	5
TCGA-AN-A0XW-01A-11D-A10G-09	4	338	0
TCGA-AO-A03L-01A-41W-A071-09	22	8	3
TCGA-AO-A03O-01A-11W-A019-09	78	9	2
TCGA-AO-A03P-01A-11W-A019-09	39	7	9
TCGA-AO-A03R-01A-21W-A050-09	40	8	5
TCGA-AO-A03T-01A-21W-A050-09	71	31	3
TCGA-AO-A03V-01A-11D-A10Y-09	31	16	5
TCGA-AO-A0J2-01A-11W-A050-09	58	6	3
TCGA-AO-A0J3-01A-11W-A050-09	47	23	17
TCGA-AO-A0J4-01A-11W-A050-09	79	50	0
TCGA-AO-A0J5-01A-11W-A050-09	58	4	8
TCGA-AO-A0J6-01A-11W-A050-09	69	21	4
TCGA-AO-A0J7-01A-11W-A050-09	16	8	3
